id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
2710,3923,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2023,No,,
2711,3923,2,CE,CIVIL ENGINEERING,30,2010,No,,
2712,3923,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2002,No,,
2713,3923,4,ME,MECHANICAL ENGINEERING,30,2002,No,,
2714,3923,5,CS,COMPUTER SCIENCE AND ENGINEERING,60,2007,No,,
2715,3923,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
2716,3926,1,CE,CIVIL ENGINEERING,30,2010,No,,
2717,3926,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2008,No,,
2718,3926,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2008,No,,
2719,3926,4,ME,MECHANICAL ENGINEERING,60,2009,No,,
2720,3926,5,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
2721,3926,6,CS,COMPUTER SCIENCE AND ENGINEERING,90,2008,No,,
2722,3926,7,IT,INFORMATION TECHNOLOGY,60,2025,No,,
2723,4020,1,CS,COMPUTER SCIENCE AND ENGINEERING,120,2018,No,,
2724,4020,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2018,No,,
2725,4020,3,GI,GEO INFORMATICS,60,2018,No,,
2726,4020,4,ME,MECHANICAL ENGINEERING,60,2018,No,,
2727,4020,5,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2024,No,,
2728,4023,1,CE,CIVIL ENGINEERING,60,2009,No,,
2729,4023,2,ME,MECHANICAL ENGINEERING,60,2009,No,,
2730,4023,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,2009,No,,
2731,4023,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2732,4023,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2015,No,,
2733,4023,6,IT,INFORMATION TECHNOLOGY,60,2014,No,,
