id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
2962,4954,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,1995,No,,
2963,4954,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,1999,No,,
2964,4954,5,ME,MECHANICAL ENGINEERING,30,1995,No,,
2965,4954,6,IT,INFORMATION TECHNOLOGY,60,2001,No,,
2966,4954,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,**
2967,4955,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,180,2021,No,,
2968,4955,2,CS,COMPUTER SCIENCE AND ENGINEERING,240,2000,Yes,2028,
2969,4955,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,240,2000,Yes,2028,
2970,4955,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2002,Yes,2028,
2971,4955,5,ME,MECHANICAL ENGINEERING,60,2005,Yes,2028,
2972,4955,6,IT,INFORMATION TECHNOLOGY,180,2000,Yes,2028,
2973,4955,7,CE,CIVIL ENGINEERING,30,2026,,,
2974,4956,1,CE,CIVIL ENGINEERING,60,2002,No,,
2975,4956,2,CS,COMPUTER SCIENCE AND ENGINEERING,30,1995,No,,
2976,4956,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,34,1995,No,,
2977,4956,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,45,1995,No,,
2978,4956,5,IC,INSTRUMENTATION AND CONTROL ENGINEERING,34,2001,No,,
2979,4956,6,ME,MECHANICAL ENGINEERING,51,1995,No,,
2980,4956,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2026,,,
2981,4957,1,CS,COMPUTER SCIENCE AND ENGINEERING,120,2001,Yes,2027,
2982,4957,2,IT,INFORMATION TECHNOLOGY,60,2001,Yes,2028,
2983,4957,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2001,Yes,2028,
2984,4957,4,ME,MECHANICAL ENGINEERING,60,2019,No,,
2985,4957,5,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
