sl_no,tnea_code,college_name,district,total_appeared,total_passed,pass_percentage,pdf_page,sem1_appeared,sem1_passed,sem3_appeared,sem3_passed,sem5_appeared,sem5_passed,sem7_appeared,sem7_passed,sem9_appeared,sem9_passed
51,4931,GRACE COLLEGE OF ENGINEERING,TUTICORIN,654,364,55.66,5,192.0,60.0,165.0,91.0,133.0,80.0,164.0,133.0,,
52,2643,BHARATHIYAR INSTITUTE OF ENGINEERING FOR WOMEN,SALEM,1266,703,55.53,5,446.0,82.0,344.0,206.0,247.0,215.0,229.0,200.0,,
53,4993,LOYOLA INSTITUTE OF TECHNOLOGY AND SCIENCE,KANYAKUMARI,1422,788,55.41,5,384.0,110.0,338.0,147.0,358.0,258.0,342.0,273.0,,
54,3454,SRI RAMAKRISHNA COLLEGE OF ENGINEERING,PERAMBALUR,873,480,54.98,5,308.0,50.0,187.0,103.0,197.0,173.0,181.0,154.0,,
55,1405,DHANALAKSHMI COLLEGE OF ENGINEERING,KANCHEEPURAM,1664,909,54.63,5,658.0,242.0,434.0,236.0,292.0,215.0,280.0,216.0,,
56,4969,SCAD COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUNELVELI,1123,610,54.32,5,310.0,92.0,281.0,120.0,302.0,203.0,230.0,195.0,,
57,4864,V V COLLEGE OF ENGINEERING,TUTICORIN,1052,560,53.23,5,312.0,86.0,271.0,145.0,243.0,138.0,226.0,191.0,,
58,3822,TITTAGUDI SENGUNTHAR ENGINEERING COLLEGE,CUDDALORE,271,142,52.4,5,97.0,19.0,75.0,44.0,62.0,47.0,37.0,32.0,,
59,3465,"GOVERNMENT COLLEGE OF ENGINEERING, SRIRANGAM",TIRUCHIRAPPALLI,1165,609,52.27,5,304.0,121.0,301.0,133.0,289.0,164.0,271.0,191.0,,
60,5009,GOVERNMENT COLLEGE OF ENGINEERING,THENI,1070,556,51.96,5,289.0,131.0,279.0,103.0,267.0,151.0,235.0,171.0,,
61,3760,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,NAGAPATTINAM,1287,667,51.83,6,403.0,86.0,355.0,153.0,261.0,217.0,268.0,211.0,,
62,5536,MANGAYARKARASI COLLEGE OF ENGINEERING,MADURAI,1193,617,51.72,6,347.0,117.0,315.0,118.0,283.0,201.0,248.0,181.0,,
63,1409,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,CHENGALPATTU,1702,877,51.53,6,502.0,121.0,445.0,183.0,405.0,286.0,350.0,287.0,,
64,2733,ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUPPUR,216,111,51.39,6,40.0,1.0,23.0,9.0,60.0,29.0,93.0,72.0,,
65,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE,886,452,51.02,6,343.0,136.0,200.0,72.0,156.0,99.0,187.0,145.0,,
66,3410,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,CUDDALORE,1217,620,50.94,6,368.0,75.0,322.0,180.0,295.0,195.0,232.0,170.0,,
67,4996,SRI VIDYA COLLEGE OF ENGINEERING & TECHNOLOGY,VIRUDHUNAGAR,381,192,50.39,6,61.0,16.0,103.0,37.0,139.0,83.0,78.0,56.0,,
68,3843,M R K INSTITUTE OF TECHNOLOGY,CUDDALORE,1530,763,49.87,6,529.0,108.0,374.0,180.0,328.0,210.0,299.0,265.0,,
69,1226,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,KANCHEEPURAM,1386,690,49.78,6,427.0,133.0,381.0,147.0,312.0,212.0,266.0,198.0,,
70,1222,P.B. COLLEGE OF ENGINEERING,KANCHEEPURAM,493,244,49.49,6,118.0,27.0,94.0,42.0,111.0,61.0,170.0,114.0,,
71,4928,MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,1408,696,49.43,6,452.0,122.0,339.0,179.0,345.0,204.0,272.0,191.0,,
72,4933,ST.MOTHER THERESA ENGINEERING COLLEGE,TUTICORIN,701,344,49.07,6,195.0,61.0,182.0,86.0,184.0,99.0,140.0,98.0,,
73,4024,"UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI",TUTICORIN,718,349,48.61,6,242.0,111.0,193.0,66.0,172.0,93.0,111.0,79.0,,
74,3807,J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUCHIRAPPALLI,2527,1228,48.6,6,820.0,265.0,635.0,259.0,554.0,345.0,518.0,359.0,,
75,1228,ALPHA COLLEGE OF ENGINEERING,THIRUVALLUR,552,268,48.55,6,144.0,42.0,124.0,54.0,159.0,82.0,125.0,90.0,,
76,1523,GLOBAL INSTITUTE OF ENGINEERING AND TECHNOLOGY,RANIPET,1241,602,48.51,7,432.0,122.0,271.0,105.0,265.0,160.0,273.0,215.0,,
77,1441,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,KALLAKURICHI,1323,640,48.37,7,419.0,70.0,352.0,187.0,302.0,209.0,250.0,174.0,,
78,3011,"UNIVERSITY COLLEGE OF ENGINEERING, TIRUCHIRAPPALLI (BIT CAMPUS)",TIRUCHIRAPPALLI,3824,1842,48.17,7,958.0,368.0,1003.0,344.0,994.0,556.0,869.0,574.0,,
79,4952,C.S.I. INSTITUTE OF TECHNOLOGY,KANYAKUMARI,635,304,47.87,7,120.0,30.0,160.0,54.0,190.0,105.0,165.0,115.0,,
80,4957,JAYARAJ ANNAPACKIAM CSI COLLEGE OF ENGINEERING,TUTICORIN,1208,578,47.85,7,334.0,56.0,329.0,139.0,282.0,175.0,263.0,208.0,,
81,4677,ARUNACHALA HITECH ENGINEERING COLLEGE,KANYAKUMARI,774,367,47.42,7,354.0,155.0,311.0,150.0,47.0,26.0,62.0,36.0,,
82,1218,SRI MUTHUKUMARAN INSTITUTE OF TECHNOLOGY,KANCHEEPURAM,1107,524,47.34,7,471.0,156.0,181.0,89.0,223.0,136.0,232.0,143.0,,
83,1423,ASAN MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,CHENGALPATTU,508,240,47.24,7,198.0,31.0,99.0,50.0,173.0,129.0,38.0,30.0,,
84,4934,HOLY CROSS ENGINEERING COLLEGE,TUTICORIN,856,404,47.2,7,222.0,65.0,232.0,99.0,195.0,102.0,207.0,138.0,,
85,3918,SHANMUGANATHAN ENGINEERING COLLEGE,PUDUKKOTTAI,668,313,46.86,7,231.0,61.0,222.0,85.0,94.0,64.0,121.0,103.0,,
86,2636,A V S ENGINEERING COLLEGE,SALEM,2691,1231,45.75,7,911.0,216.0,756.0,308.0,511.0,321.0,513.0,386.0,,
87,4982,VINS CHRISTIAN COLLEGE OF ENGINEERING,KANYAKUMARI,274,125,45.62,7,86.0,15.0,75.0,22.0,61.0,45.0,52.0,43.0,,
88,1106,JAYA ENGINEERING COLLEGE,THIRUVALLUR,1236,559,45.23,7,314.0,54.0,273.0,96.0,281.0,184.0,368.0,225.0,,
89,5532,VAIGAI COLLEGE OF ENGINEERING,MADURAI,415,187,45.06,7,105.0,19.0,84.0,25.0,103.0,55.0,123.0,88.0,,
90,2327,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,KARUR,1127,507,44.99,7,361.0,60.0,321.0,132.0,273.0,185.0,172.0,130.0,,
91,3795,SRM TRP ENGINEERING COLLEGE,TIRUCHIRAPPALLI,2679,1196,44.64,8,915.0,285.0,650.0,222.0,534.0,315.0,580.0,374.0,,
92,2705,CSI COLLEGE OF ENGINEERING,THE NILGIRIS,823,363,44.11,8,229.0,45.0,210.0,82.0,226.0,117.0,158.0,119.0,,
93,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,COIMBATORE,1234,542,43.92,8,372.0,67.0,303.0,117.0,322.0,172.0,237.0,186.0,,
94,2635,CMS COLLEGE OF ENGINEERING,NAMAKKAL,1071,470,43.88,8,423.0,74.0,244.0,93.0,225.0,161.0,179.0,142.0,,
95,1225,LOYOLA INSTITUTE OF TECHNOLOGY,KANCHEEPURAM,1352,592,43.79,8,534.0,147.0,287.0,138.0,290.0,165.0,241.0,142.0,,
96,3461,ARIFA INSTITUTE OF TECHNOLOGY,NAGAPATTINAM,632,275,43.51,8,201.0,30.0,164.0,48.0,153.0,103.0,114.0,94.0,,
97,1513,SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE,THIRUVANNAMALAI,693,301,43.43,8,231.0,44.0,165.0,67.0,137.0,68.0,160.0,122.0,,
98,1428,E.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,VILLUPURAM,373,162,43.43,8,192.0,28.0,112.0,68.0,47.0,45.0,22.0,21.0,,
99,3825,ST.JOSEPH'S COLLEGE OF ENGINEERING AND TECHNOLOGY,THANJAVUR,1239,538,43.42,8,483.0,105.0,329.0,146.0,233.0,139.0,194.0,148.0,,
100,1519,BHARATHIDASAN ENGINEERING COLLEGE,TIRUPATTUR,1050,453,43.14,8,351.0,64.0,277.0,100.0,206.0,123.0,216.0,166.0,,
101,1241,T.J.S. ENGINEERING COLLEGE,THIRUVALLUR,1065,459,43.1,8,307.0,86.0,260.0,102.0,275.0,137.0,223.0,134.0,,
102,4932,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING,KANYAKUMARI,209,90,43.06,8,87.0,41.0,59.0,23.0,44.0,24.0,19.0,2.0,,
103,4946,DMI ENGINEERING COLLEGE,KANYAKUMARI,941,404,42.93,8,364.0,83.0,251.0,112.0,188.0,109.0,138.0,100.0,,
104,1434,SURYA GROUP OF INSTITUTIONS,VILLUPURAM,880,376,42.73,8,258.0,33.0,211.0,75.0,217.0,133.0,194.0,135.0,,
105,1509,MEENAKSHI COLLEGE OF ENGINEERING,CHENNAI,1859,793,42.66,8,610.0,147.0,473.0,158.0,415.0,219.0,361.0,269.0,,
