sl_no,tnea_code,college_name,district,total_appeared,total_passed,pass_percentage,pdf_page,sem1_appeared,sem1_passed,sem3_appeared,sem3_passed,sem5_appeared,sem5_passed,sem7_appeared,sem7_passed,sem9_appeared,sem9_passed
169,2346,SHREE SATHYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,SALEM,617,195,31.6,13,187.0,13.0,185.0,44.0,158.0,78.0,87.0,60.0,,
170,4976,INFANT JESUS COLLEGE OF ENGINEERING,TUTICORIN,285,89,31.23,13,100.0,11.0,89.0,34.0,84.0,39.0,12.0,5.0,,
171,1230,APOLLO ENGINEERING COLLEGE,KANCHEEPURAM,521,162,31.09,13,151.0,14.0,140.0,32.0,142.0,58.0,88.0,58.0,,
172,2647,J.K.K. NATARAJA COLLEGE OF ENGINEERING AND TECHNOLOGY,NAMAKKAL,873,271,31.04,13,293.0,45.0,270.0,59.0,180.0,77.0,130.0,90.0,,
173,3817,ROEVER ENGINEERING COLLEGE,PERAMBALUR,1352,419,30.99,13,430.0,19.0,324.0,72.0,292.0,130.0,306.0,198.0,,
174,1133,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,CHENGALPATTU,509,156,30.65,13,124.0,23.0,151.0,26.0,134.0,54.0,100.0,53.0,,
175,3821,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUVARUR,848,259,30.54,13,292.0,24.0,210.0,58.0,210.0,99.0,136.0,78.0,,
176,3810,MAM COLLEGE OF ENGINEERING,TIRUCHIRAPPALLI,2330,709,30.43,13,806.0,65.0,596.0,110.0,466.0,206.0,462.0,328.0,,
177,1437,RRASE COLLEGE OF ENGINEERING,KANCHEEPURAM,967,294,30.4,13,238.0,24.0,267.0,69.0,258.0,104.0,204.0,97.0,,
178,5913,R.V.S. COLLEGE OF ENGINEERING,DINDIGUL,937,283,30.2,13,298.0,37.0,278.0,75.0,210.0,95.0,151.0,76.0,,
179,2640,JAYALAKSHMI INSTITUTE OF TECHNOLOGY,DHARMAPURI,1362,407,29.88,13,352.0,61.0,424.0,112.0,292.0,88.0,294.0,146.0,,
180,3820,TRICHY ENGINEERING COLLEGE,TIRUCHIRAPPALLI,519,155,29.87,13,112.0,26.0,176.0,40.0,145.0,58.0,86.0,31.0,,
181,4966,PET ENGINEERING COLLEGE,THIRUNELVELI,1073,320,29.82,14,299.0,34.0,293.0,52.0,268.0,113.0,213.0,121.0,,
182,1212,RAJIV GANDHI COLLEGE OF ENGINEERING,KANCHEEPURAM,626,185,29.55,14,202.0,35.0,82.0,38.0,180.0,59.0,162.0,53.0,,
183,5915,SACS M.A.V.M.M ENGINEERING COLLEGE,MADURAI,817,239,29.25,14,283.0,33.0,211.0,41.0,180.0,86.0,143.0,79.0,,
184,5703,CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,DINDIGUL,925,270,29.19,14,248.0,30.0,280.0,64.0,238.0,90.0,159.0,86.0,,
185,4967,S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,TENKASI,408,118,28.92,14,33.0,3.0,111.0,16.0,125.0,39.0,139.0,60.0,,
186,4675,UNIVERSAL COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUNELVELI,630,171,27.14,14,140.0,9.0,168.0,25.0,183.0,77.0,139.0,60.0,,
187,3920,SUDHARSAN ENGINEERING COLLEGE,PUDUKKOTTAI,797,215,26.98,14,294.0,36.0,165.0,32.0,196.0,77.0,142.0,70.0,,
188,4929,M.E.T. ENGINEERING COLLEGE,KANYAKUMARI,227,61,26.87,14,15.0,0.0,38.0,3.0,65.0,16.0,109.0,42.0,,
189,5533,KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT,SIVAGANGAI,164,44,26.83,14,27.0,6.0,51.0,13.0,39.0,8.0,47.0,17.0,,
190,2354,POLLACHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,COIMBATORE,763,200,26.21,14,241.0,22.0,249.0,45.0,173.0,81.0,100.0,52.0,,
191,1517,THIRUMALAI ENGINEERING COLLEGE,KANCHEEPURAM,883,229,25.93,14,203.0,19.0,303.0,50.0,178.0,39.0,199.0,121.0,,
192,2602,ANNAI MATHAMMAL SHEELA ENGINEERING COLLEGE,NAMAKKAL,456,118,25.88,14,28.0,2.0,139.0,4.0,127.0,27.0,162.0,85.0,,
193,4989,PSN ENGINEERING COLLEGE,THIRUNELVELI,789,200,25.35,14,316.0,24.0,163.0,24.0,149.0,81.0,161.0,71.0,,
194,1318,T.J. INSTITUTE OF TECHNOLOGY,CHENGALPATTU,261,66,25.29,14,87.0,11.0,62.0,12.0,64.0,19.0,48.0,24.0,,
195,2748,SURYA ENGINEERING COLLEGE,ERODE,918,232,25.27,14,376.0,39.0,221.0,54.0,227.0,101.0,94.0,38.0,,
196,5942,ULTRA COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,MADURAI,474,119,25.11,15,137.0,17.0,147.0,30.0,87.0,31.0,103.0,41.0,,
197,2641,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,DHARMAPURI,938,235,25.05,15,317.0,26.0,198.0,33.0,202.0,82.0,221.0,94.0,,
198,3815,PAVENDAR BHARATHIDASAN COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUCHIRAPPALLI,683,171,25.04,15,144.0,2.0,161.0,22.0,194.0,73.0,184.0,74.0,,
199,1232,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,CHENGALPATTU,402,99,24.63,15,132.0,13.0,122.0,22.0,77.0,31.0,71.0,33.0,,
200,1427,SRI KRISHNA ENGINEERING COLLEGE,KANCHEEPURAM,428,104,24.3,15,179.0,34.0,159.0,36.0,57.0,16.0,33.0,18.0,,
201,2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY,COIMBATORE,1133,275,24.27,15,402.0,61.0,328.0,71.0,239.0,120.0,164.0,23.0,,
202,1449,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,VILLUPURAM,772,187,24.22,15,245.0,17.0,219.0,42.0,168.0,58.0,140.0,70.0,,
203,1235,J E I MATHAAJEE COLLEGE OF ENGINEERING,KANCHEEPURAM,167,40,23.95,15,23.0,9.0,78.0,10.0,36.0,13.0,30.0,8.0,,
204,2614,S.S.M. COLLEGE OF ENGINEERING,NAMAKKAL,1328,317,23.87,15,216.0,18.0,417.0,53.0,342.0,103.0,353.0,143.0,,
205,4925,SUN COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,341,80,23.46,15,132.0,16.0,131.0,34.0,57.0,22.0,21.0,8.0,,
206,3848,VANDAYAR ENGINEERING COLLEGE,THANJAVUR,154,36,23.38,15,65.0,2.0,25.0,6.0,39.0,18.0,25.0,10.0,,
207,4949,PSN INSTITUTE OF TECHNOLOGY AND SCIENCE,THIRUNELVELI,734,169,23.02,15,244.0,25.0,204.0,7.0,162.0,58.0,124.0,79.0,,
208,3016,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",ARIYALUR,593,136,22.93,15,204.0,24.0,151.0,16.0,125.0,39.0,113.0,57.0,,
209,3844,SHIVANI ENGINEERING COLLEGE,TIRUCHIRAPPALLI,907,203,22.38,15,266.0,6.0,241.0,24.0,229.0,99.0,171.0,74.0,,
210,3813,OXFORD ENGINEERING COLLEGE,TIRUCHIRAPPALLI,480,107,22.29,15,130.0,3.0,52.0,6.0,110.0,34.0,188.0,64.0,,
211,5911,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,MADURAI,213,47,22.07,16,54.0,9.0,65.0,10.0,65.0,16.0,29.0,12.0,,
212,2767,SRG ENGINEERING COLLEGE,NAMAKKAL,342,72,21.05,16,94.0,6.0,97.0,16.0,84.0,19.0,67.0,31.0,,
213,3766,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,THANJAVUR,162,34,20.99,16,21.0,1.0,45.0,5.0,51.0,11.0,45.0,17.0,,
214,2770,STUDYWORLD COLLEGE OF ENGINEERING,COIMBATORE,1146,238,20.77,16,449.0,25.0,291.0,60.0,269.0,93.0,137.0,60.0,,
215,2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,COIMBATORE,982,200,20.37,16,232.0,6.0,246.0,8.0,288.0,77.0,216.0,109.0,,
216,1524,ANNAMALAIAR COLLEGE OF ENGINEERING,THIRUVANNAMALAI,366,74,20.22,16,83.0,8.0,128.0,19.0,73.0,21.0,82.0,26.0,,
217,4983,LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,293,59,20.14,16,79.0,7.0,87.0,14.0,63.0,15.0,64.0,23.0,,
218,3849,ANNAI COLLEGE OF ENGINEERING AND TECHNOLOGY,THANJAVUR,1212,238,19.64,16,288.0,28.0,431.0,55.0,242.0,63.0,251.0,92.0,,
219,2341,GANESH COLLEGE OF ENGINEERING,SALEM,987,189,19.15,16,337.0,5.0,220.0,16.0,194.0,56.0,236.0,112.0,,
220,1444,R.M. ENGINEERING COLLEGE,CHENGALPATTU,111,21,18.92,16,45.0,3.0,56.0,12.0,4.0,1.0,6.0,5.0,,
221,2332,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,ERODE,80,15,18.75,16,8.0,3.0,39.0,8.0,16.0,1.0,17.0,3.0,,
222,1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUVALLUR,798,149,18.67,16,105.0,21.0,260.0,46.0,259.0,40.0,174.0,42.0,,
223,3782,OASYS INSTITUTE OF TECHNOLOGY,TIRUCHIRAPPALLI,1076,200,18.59,16,444.0,10.0,284.0,31.0,245.0,98.0,103.0,61.0,,
224,5930,SBM COLLEGE OF ENGINEERING AND TECHNOLOGY,DINDIGUL,1301,241,18.52,16,278.0,23.0,426.0,53.0,341.0,76.0,256.0,89.0,,
225,1445,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,VILLUPURAM,526,95,18.06,16,170.0,8.0,96.0,28.0,137.0,26.0,123.0,33.0,,
226,4978,UDAYA SCHOOL OF ENGINEERING,KANYAKUMARI,1743,307,17.61,17,451.0,50.0,587.0,78.0,402.0,92.0,303.0,87.0,,
227,3923,MNSK COLLEGE OF ENGINEERING,PUDUKKOTTAI,75,13,17.33,17,5.0,0.0,36.0,0.0,21.0,11.0,13.0,2.0,,
228,1229,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,THIRUVALLUR,422,73,17.3,17,114.0,11.0,134.0,19.0,95.0,18.0,79.0,25.0,,
229,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ARIYALUR,935,157,16.79,17,145.0,1.0,274.0,20.0,300.0,71.0,216.0,65.0,,
230,3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY,ARIYALUR,695,111,15.97,17,168.0,1.0,174.0,10.0,165.0,42.0,188.0,58.0,,
231,1503,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,THIRUVANNAMALAI,250,39,15.6,17,69.0,8.0,91.0,9.0,53.0,10.0,37.0,12.0,,
232,4927,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,420,65,15.48,17,55.0,9.0,147.0,13.0,120.0,14.0,98.0,29.0,,
233,1150,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,THIRUVALLUR,346,53,15.32,17,53.0,7.0,112.0,18.0,78.0,13.0,103.0,15.0,,
234,4953,CAPE INSTITUTE OF TECHNOLOGY,THIRUNELVELI,965,143,14.82,17,158.0,7.0,302.0,12.0,308.0,58.0,197.0,66.0,,
235,1209,PALLAVAN COLLEGE OF ENGINEERING,KANCHEEPURAM,280,41,14.64,17,61.0,13.0,96.0,8.0,66.0,6.0,57.0,14.0,,
236,4956,JAYAMATHA ENGINEERING COLLEGE,KANYAKUMARI,257,37,14.4,17,3.0,0.0,30.0,1.0,90.0,17.0,134.0,19.0,,
237,3855,AS-SALAM COLLEGE OF ENGINEERING AND TECHNOLOGY,THANJAVUR,469,67,14.29,17,46.0,1.0,144.0,9.0,135.0,18.0,144.0,39.0,,
238,2658,VSA GROUP OF INSTITUTIONS,SALEM,652,89,13.65,17,172.0,3.0,189.0,17.0,179.0,37.0,112.0,32.0,,
239,1221,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUVALLUR,130,17,13.08,17,27.0,2.0,42.0,4.0,39.0,9.0,22.0,2.0,,
240,1335,SRI KRISHNA INSTITUTE OF TECHNOLOGY,KANCHEEPURAM,294,38,12.93,17,69.0,11.0,138.0,16.0,55.0,7.0,32.0,4.0,,
241,5851,VEERAMMAL ENGINEERING COLLEGE,DINDIGUL,146,15,10.27,18,72.0,8.0,40.0,4.0,32.0,1.0,2.0,2.0,,
242,1526,SRI KRISHNA COLLEGE OF ENGINEERING,RANIPET,270,27,10.0,18,25.0,2.0,62.0,0.0,81.0,7.0,102.0,18.0,,
243,1107,JAYA INSTITUTE OF TECHNOLOGY,THIRUVALLUR,220,22,10.0,18,47.0,5.0,106.0,6.0,34.0,7.0,33.0,4.0,,
244,3845,IMAYAM COLLEGE OF ENGINEERING,TIRUCHIRAPPALLI,665,66,9.92,18,363.0,2.0,142.0,10.0,89.0,26.0,71.0,28.0,,
245,3854,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,PUDUKKOTTAI,655,62,9.47,18,71.0,3.0,262.0,16.0,212.0,22.0,110.0,21.0,,
246,1511,RANIPPETTAI ENGINEERING COLLEGE,RANIPET,138,12,8.7,18,22.0,5.0,47.0,3.0,44.0,4.0,25.0,0.0,,
247,1529,OXFORD COLLEGE OF ENGINEERING,THIRUVANNAMALAI,150,13,8.67,18,30.0,7.0,75.0,1.0,9.0,1.0,36.0,4.0,,
248,1121,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,THIRUVALLUR,384,28,7.29,18,59.0,1.0,187.0,9.0,67.0,10.0,71.0,8.0,,
249,3808,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUCHIRAPPALLI,213,14,6.57,18,15.0,2.0,112.0,2.0,55.0,6.0,31.0,4.0,,
250,1438,SREE KRISHNA COLLEGE OF ENGINEERING,VELLORE,314,18,5.73,18,45.0,3.0,138.0,5.0,67.0,2.0,64.0,8.0,,
251,1402,ANNAI TERESA COLLEGE OF ENGINEERING,KALLAKURICHI,525,26,4.95,18,42.0,0.0,197.0,5.0,187.0,9.0,99.0,12.0,,
252,1415,T.S.M. JAIN COLLEGE OF TECHNOLOGY,KALLAKURICHI,382,12,3.14,18,15.0,0.0,182.0,1.0,86.0,3.0,99.0,8.0,,
253,5924,GANAPATHY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,RAMANATHAPURAM,223,6,2.69,18,26.0,0.0,94.0,1.0,57.0,1.0,46.0,4.0,,
254,4998,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY,TENKASI,90,2,2.22,18,3.0,0.0,43.0,0.0,16.0,2.0,28.0,0.0,,
255,2350,JAIRUPAA COLLEGE OF ENGINEERING,TIRUPPUR,193,2,1.04,18,8.0,1.0,91.0,1.0,72.0,0.0,22.0,0.0,,
256,2616,SAPTHAGIRI COLLEGE OF ENGINEERING,DHARMAPURI,489,5,1.02,19,17.0,0.0,206.0,1.0,183.0,3.0,83.0,1.0,,
257,4943,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,774,7,0.9,19,74.0,7.0,231.0,0.0,288.0,0.0,181.0,0.0,,
1,4995,P.S.R.R COLLEGE OF ENGINEERING,VIRUDHUNAGAR,469,344,73.35,20,,,123.0,72.0,194.0,144.0,152.0,128.0,,
2,4986,NOORUL ISLAM COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,91,28,30.77,20,57.0,8.0,14.0,7.0,20.0,13.0,,,,
3,3460,SURYA COLLEGE OF ENGINEERING,TIRUCHIRAPPALLI,89,20,22.47,20,,,19.0,2.0,22.0,5.0,48.0,13.0,,
4,4937,A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY,TENKASI,26,4,15.38,20,,,18.0,3.0,4.0,0.0,4.0,1.0,,
5,3802,SHRI ANGALA AMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUCHIRAPPALLI,69,7,10.14,20,,,5.0,0.0,41.0,4.0,23.0,3.0,,
6,5537,JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY,DINDIGUL,49,3,6.12,20,41.0,1.0,,,1.0,0.0,7.0,2.0,,
7,2368,VISHNU LAKSHMI COLLEGE OF ENGINEERING & TECHNOLOGY,COIMBATORE,251,1,0.4,20,,,159.0,0.0,85.0,0.0,7.0,1.0,,
1,2661,VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN,NAMAKKAL,651,589,90.48,21,,,,,352.0,306.0,299.0,283.0,,
2,4972,AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,722,535,74.1,21,,,,,373.0,248.0,349.0,287.0,,
3,2314,MUTHAYAMMAL COLLEGE OF ENGINEERING,NAMAKKAL,429,291,67.83,21,,,,,223.0,147.0,206.0,144.0,,
4,1339,MAHALAKSHMI TECH CAMPUS,CHENGALPATTU,149,74,49.66,21,133.0,61.0,16.0,13.0,,,,,,
5,1333,SHIKSHAA INSTITUTE OF ADVANCED TECHNOLOGIES,CHENGALPATTU,121,30,24.79,21,50.0,10.0,71.0,20.0,,,,,,
6,1102,BHAJARANG ENGINEERING COLLEGE,THIRUVALLUR,24,0,0.0,21,15.0,0.0,9.0,0.0,,,,,,
1,1124,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,THIRUVALLUR,8,8,100.0,22,,,,,,,8.0,8.0,,
2,1398,CHENNAI INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,KANCHEEPURAM,375,361,96.27,22,,,,,375.0,361.0,,,,
3,1533,PANIMALAR ENGINEERING COLLEGE CHENNAI CITY CAMPUS,CHENNAI,346,323,93.35,22,,,,,,,346.0,323.0,,
4,2665,MAHENDRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,NAMAKKAL,102,68,66.67,22,,,,,,,102.0,68.0,,
5,4948,RAJAS INSTITUTE OF TECHNOLOGY,KANYAKUMARI,14,8,57.14,22,,,,,,,14.0,8.0,,
6,1213,S.K.R. ENGINEERING COLLEGE,THIRUVALLUR,90,41,45.56,22,,,,,,,90.0,41.0,,
7,1203,MADRAS ENGINEERING COLLEGE,KANCHEEPURAM,200,87,43.5,22,200.0,87.0,,,,,,,,
8,3850,VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY,NAMAKKAL,97,40,41.24,22,,,,,,,97.0,40.0,,
9,2777,HINDUSTHAN COLLEGE OF ENGINEERING,Erode,224,76,33.93,22,224.0,76.0,,,,,,,,
10,2606,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,DHARMAPURI,84,27,32.14,22,,,,,,,84.0,27.0,,
11,5545,G.T.N. COLLEGE OF TECHNOLOGY,DINDIGUL,163,43,26.38,22,163.0,43.0,,,,,,,,
12,5546,JAMAL MOHAMED COLLEGE OF ENGINEERING,DINDIGUL,46,10,21.74,22,46.0,10.0,,,,,,,,
13,2378,CHERRAAN COLLEGE OF TECHNOLOGY,TIRUPPUR,15,3,20.0,22,,,15.0,3.0,,,,,,
14,3477,SRI VIGNESH COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUCHIRAPPALLI,85,10,11.76,22,85.0,10.0,,,,,,,,
15,1434,SURYA SCHOOL OF ENGINEERING,KANYAKUMARI,156,1,0.64,22,,,156.0,1.0,,,,,,
